"","rank","name","net_worth","age","country","source","industry","citizenship","education"
"1",1,"Bernard Arnault & family",211,74,"France","LVMH","Fashion & Retail","France","Bachelor of Arts/Science, Ecole Polytechnique de Paris"
"2",2,"Elon Musk",180,51,"United States","Tesla, SpaceX","Automotive","United States","Bachelor of Arts/Science, University of Pennsylvania"
"3",3,"Jeff Bezos",114,59,"United States","Amazon","Technology","United States","Bachelor of Arts/Science, Princeton University"
"4",4,"Larry Ellison",107,78,"United States","Oracle","Technology","United States","Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign"
"5",5,"Warren Buffett",106,92,"United States","Berkshire Hathaway","Finance & Investments","United States","Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln"
"6",6,"Bill Gates",104,67,"United States","Microsoft","Technology","United States","Drop Out, Harvard University"
"7",7,"Michael Bloomberg",94.5,81,"United States","Bloomberg LP","Media & Entertainment","United States","Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University"
"8",8,"Carlos Slim Helu & family",93,83,"Mexico","Telecom","Telecom","Mexico","Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico"
"9",9,"Mukesh Ambani",83.4,65,"India","Diversified","Diversified","India","Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai"
"10",10,"Steve Ballmer",80.7,67,"United States","Microsoft","Technology","United States","Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University"
"11",11,"Francoise Bettencourt Meyers & family",80.5,69,"France","L'Oréal","Fashion & Retail","France",NA
"12",12,"Larry Page",79.2,50,"United States","Google","Technology","United States","Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan"
"13",13,"Amancio Ortega",77.3,87,"Spain","Zara","Fashion & Retail","Spain",NA
"14",14,"Sergey Brin",76,49,"United States","Google","Technology","United States","Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park"
"15",15,"Zhong Shanshan",68,68,"China","Beverages, pharmaceuticals","Food & Beverage","China",NA
"16",16,"Mark Zuckerberg",64.4,38,"United States","Facebook","Technology","United States","Drop Out, Harvard University"
"17",17,"Charles Koch",59,87,"United States","Koch Industries","Diversified","United States","Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology"
"18",17,"Julia Koch & family",59,60,"United States","Koch Industries","Diversified","United States","Bachelor of Arts/Science, University of Central Arkansas"
"19",19,"Jim Walton",58.8,74,"United States","Walmart","Fashion & Retail","United States","Bachelor of Arts/Science, University of Arkansas"
"20",20,"Rob Walton",57.6,78,"United States","Walmart","Fashion & Retail","United States","Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas"
